,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance
0,209783939,522735788,209850855,522565721,1633089335938,1633090589760,IN_TRAM,2862
1,209844525,522575066,209783288,522734772,1633093443148,1633094938765,IN_TRAM,2872
2,209783690,522735802,209795468,522745544,1633185737889,1633185874734,WALKING,134
3,209794645,522745898,209783741,522735794,1633186357173,1633186598649,WALKING,145
4,209783961,522735579,209774307,522790641,1633253257100,1633254110000,WALKING,668
5,209774307,522790641,210205766,523010873,1633254110000,1633254987738,IN_BUS,3885
6,210205766,523010873,210200099,523021781,1633254987738,1633255230157,WALKING,127
7,210200001,523021902,210212500,523010550,1633262274528,1633262674000,WALKING,174
8,210212500,523010550,209771033,522790727,1633262674000,1633263362000,IN_BUS,3961
9,209771033,522790727,209785730,522734856,1633263362000,1633263959625,WALKING,759
10,209783874,522735577,209776606,522734232,1633285609923,1633292813175,WALKING,10870
11,209783879,522736163,209803284,522747587,1633343912167,1633344083921,WALKING,183
12,209803808,522747628,209782171,522737405,1633345194208,1633345676811,WALKING,230
13,209784454,522735526,210155571,522219969,1633357305476,1633358963005,IN_SUBWAY,6822
14,210155571,522219969,210071036,522216306,1633358963005,1633359843204,WALKING,711
15,210079120,522217875,210140842,522186085,1633368085713,1633368690962,WALKING,632
16,210147802,522178448,209720443,522715232,1633369062575,1633369790760,IN_SUBWAY,6808
17,209720443,522715232,209775516,522734069,1633369790760,1633370272952,WALKING,445
18,209774957,522734742,209964552,522388124,1633430561699,1633432348933,WALKING,4064
19,209964387,522386971,209741483,522726144,1633434363010,1633435616017,IN_TRAM,4241
20,209741483,522726144,209773164,522734204,1633435616017,1633435857704,WALKING,235
21,209784801,522735890,210059625,522229602,1633448215351,1633450191485,IN_TRAM,6407
22,210069982,522221068,210147688,522178505,1633456332439,1633457071415,WALKING,806
23,210147688,522178505,209729833,522720437,1633457071415,1633458112402,IN_SUBWAY,6717
24,209729833,522720437,209783604,522735705,1633458112402,1633458475872,WALKING,433
25,209782176,522738400,210199667,523022516,1633459026518,1633460638678,WALKING,4247
26,210203128,523023421,210221120,522960573,1633467207000,1633467896613,WALKING,748
27,210221120,522960573,209794510,522739831,1633467896613,1633469452432,IN_BUS,3804
28,209783829,522735220,210134077,522190656,1633527253539,1633528721293,IN_SUBWAY,6910
29,210134077,522190656,210072754,522225236,1633528721293,1633529213324,WALKING,582
30,210062098,522219526,209828245,522297317,1633538906000,1633539884220,IN_TRAM,2700
31,209848078,522297624,209787449,522386454,1633540256000,1633540634666,IN_SUBWAY,1265
32,209778485,522394962,209784103,522735312,1633551882175,1633553048195,IN_TRAM,4237
33,209794188,522738829,209799958,522744050,1633613564000,1633613609000,WALKING,70
34,209798426,522744247,209784129,522735817,1633614761225,1633614891769,WALKING,135
35,209783703,522735985,209773280,522786668,1633625284014,1633625848155,WALKING,618
36,209773280,522786668,210204863,523012072,1633625848155,1633626494780,IN_BUS,4518
37,210204297,523012423,209782234,522755264,1633635139947,1633636356357,WALKING,4051
38,209771914,522734008,210145101,522183653,1633707973252,1633709246109,IN_SUBWAY,7368
39,210145101,522183653,210070022,522218826,1633709246109,1633709692776,WALKING,666
40,210108348,522200017,210148442,522141529,1633716627831,1633718803600,WALKING,828
41,210148127,522178176,210105419,522306211,1633728602889,1633728965179,IN_SUBWAY,1453
42,210119068,522312967,210165514,522327091,1633729947930,1633730197380,WALKING,356
43,210154497,522324595,210115584,522306242,1633732648136,1633732890168,WALKING,360
44,210104446,522308844,209784558,522735950,1633733252534,1633734239408,IN_SUBWAY,5715
45,209783409,522735922,209808581,522746307,1633790493578,1633790686134,WALKING,206
46,209795394,522746363,209787477,522736543,1633792051312,1633792186384,WALKING,121
47,209783801,522735792,210081709,522099051,1633803565638,1633805066390,IN_SUBWAY,7659
48,210081709,522099051,210095972,522107390,1633805066390,1633805539648,WALKING,802
49,210096206,522108361,210081303,522099090,1633819716200,1633819959147,WALKING,309
50,210076512,522094087,209823933,522296692,1633820329950,1633821828600,IN_SUBWAY,5267
51,209823933,522296692,209782819,522383766,1633821828600,1633822756267,IN_TRAM,2414
52,209777979,522392210,209741546,522725408,1633865885902,1633866649685,IN_TRAM,3774
53,209741546,522725408,209783095,522734264,1633866649685,1633866892200,WALKING,306
54,209778027,522737263,210032479,522201499,1633935084000,1633936877000,IN_TRAM,6873
55,210030181,522201764,209852833,522572147,1633943253368,1633944928898,IN_TRAM,12709
56,209863402,522569193,209771623,522732635,1633946938186,1633948665115,WALKING,2963
57,209783579,522735972,209739656,522710782,1633963514928,1633964002151,WALKING,492
58,209739656,522710782,210059809,522217995,1633964002151,1633965462517,IN_TRAM,6009
59,210078102,522216856,210147722,522178505,1633974005903,1633974610720,WALKING,727
60,210147722,522178505,209940863,522581358,1633974610720,1633975286173,IN_SUBWAY,4696
61,209940863,522581358,209863362,522573780,1633975286173,1633975903934,WALKING,752
62,209856718,522567890,209773515,522734230,1633977726332,1633978898480,IN_TRAM,2666
63,209774601,522734681,210059150,522219475,1634035006395,1634036754314,IN_TRAM,6375
64,210078208,522216560,210113049,522205840,1634040459749,1634040821763,WALKING,306
65,210108357,522209038,210070149,522220803,1634041313795,1634041825887,WALKING,310
66,210117342,522202959,209777443,522734553,1634061805813,1634063418396,IN_SUBWAY,7244
67,209783155,522736167,209815129,522745638,1634124057864,1634124312000,WALKING,396
68,209815129,522745638,210147781,522247022,1634124312000,1634125441000,IN_BUS,6296
69,210147781,522247022,210148131,522228733,1634125441000,1634125533197,WALKING,245
70,210142128,522228069,210077888,522228383,1634131507355,1634131878976,WALKING,441
71,210068835,522219562,210145120,522177960,1634144499917,1634145470116,WALKING,732
72,210145120,522177960,209729802,522720391,1634145470116,1634146332507,IN_SUBWAY,6719
73,209729802,522720391,209775740,522731664,1634146332507,1634146818973,WALKING,354
74,209773174,522735116,210032420,522041547,1634276756000,1634278707349,WALKING,7911
75,210038446,522045484,210067541,522215734,1634284800319,1634285837827,IN_TRAM,2134
76,210069128,522218974,210137406,522184453,1634299462738,1634300199258,WALKING,713
77,210144286,522184044,210080032,522287882,1634302665795,1634303888280,WALKING,2033
78,210074063,522286545,209781644,522383426,1634304250058,1634305103141,IN_PASSENGER_VEHICLE,3001
79,209802270,522383662,209804857,522361430,1634312960000,1634313361000,WALKING,347
80,209804857,522361430,210075750,522228601,1634313361000,1634314304638,IN_TRAM,3102
81,210067556,522229579,209772597,522728015,1634320341556,1634322156853,IN_SUBWAY,7839
82,209780719,522735166,210025082,522420213,1634330733732,1634332065167,IN_SUBWAY,4385
83,210030041,522411576,209781035,522737722,1634338678282,1634340003953,IN_SUBWAY,4378
84,209782939,522734395,209798529,522744463,1634471059795,1634471272504,WALKING,154
85,209795969,522745019,209785861,522736388,1634472662297,1634472793494,WALKING,118
86,209784193,522735967,210016525,522197182,1634540072935,1634541955420,IN_TRAM,6883
87,210026519,522203403,209973991,522387902,1634548102213,1634549068350,IN_TRAM,2472
88,209957349,522387658,209774818,522734192,1634551228010,1634552496067,IN_TRAM,4321
89,209783831,522735802,209746313,522718416,1634564819902,1634565326958,WALKING,421
90,209746313,522718416,210071479,522225289,1634565326958,1634566795026,IN_TRAM,6138
91,210113898,522202271,209847588,522195003,1634579934305,1634580434000,IN_TRAM,2045
92,209855119,522193509,209778105,522389533,1634580925884,1634581599448,IN_PASSENGER_VEHICLE,2494
93,209787679,522387705,209783987,522734615,1634589393593,1634590868308,IN_TRAM,5777
94,209772597,522734206,210099768,522307751,1634650173090,1634651155137,IN_SUBWAY,5477
95,210099768,522307751,210181482,522362088,1634651155137,1634652133786,WALKING,1127
96,210193258,522334923,210119518,522311012,1634658355980,1634658961198,WALKING,589
97,210104614,522307421,209775932,522733666,1634659459053,1634660313425,IN_SUBWAY,5610
98,209782748,522736671,209778868,522391070,1634662698277,1634663957744,IN_TRAM,4330
99,209777505,522392089,209781512,522735708,1634676195356,1634677284660,IN_TRAM,4156
100,209774241,522734412,210147376,522178441,1634737228948,1634738530927,IN_SUBWAY,7153
101,210147376,522178441,210083875,522214708,1634738530927,1634739133105,WALKING,631
102,210079326,522216434,210140328,522186471,1634749873000,1634750443092,WALKING,696
103,210120206,522148873,210067257,522174913,1634752634000,1634753407183,WALKING,546
104,210028577,522201803,210047782,522202570,1634760790674,1634761151000,WALKING,381
105,210047782,522202570,209795446,522741439,1634761151000,1634762849263,IN_BUS,7377
106,209770149,522734483,210127838,522192820,1634829860190,1634831381024,IN_SUBWAY,7159
107,210110350,522196395,209857253,522567344,1634837574000,1634839557905,IN_TRAM,5492
108,209840331,522563639,209775694,522734919,1634842273874,1634843266234,IN_TRAM,2673
109,209784234,522736599,210027499,522042054,1634881596013,1634883736514,WALKING,7898
110,210033849,522042406,210070133,522220846,1634889188000,1634890162401,IN_TRAM,2387
111,210073091,522216851,210121627,522203503,1634903698813,1634904062185,WALKING,405
112,210129731,522194238,209782080,522734245,1634906927797,1634908660635,IN_SUBWAY,7200
113,209784170,522735002,209749820,522712470,1634917008384,1634917769123,WALKING,787
114,209749820,522712470,210005446,522294314,1634917769123,1634918847440,IN_TRAM,5004
115,210013499,522284289,210077360,522227996,1634919162000,1634919610821,IN_TRAM,840
116,210069733,522219724,209781910,522736388,1634925081047,1634927067000,IN_PASSENGER_VEHICLE,7613
117,209783514,522736094,209800371,522743772,1634993850955,1634994069000,WALKING,154
118,209803544,522747782,209783825,522735971,1634994814105,1634995353729,WALKING,224
119,209784063,522735695,210199532,523022391,1634999928878,1635000701160,IN_PASSENGER_VEHICLE,5061
120,210199819,523022887,209629789,522747352,1635011787307,1635012524517,IN_PASSENGER_VEHICLE,5088
121,209620838,522751503,209784162,522735620,1635014699014,1635015321783,IN_PASSENGER_VEHICLE,1790
122,209784575,522734984,209739520,522730131,1635145275145,1635145513000,WALKING,347
123,209737297,522714694,210017667,522197692,1635145883052,1635147392625,IN_TRAM,6938
124,210018674,522197467,209963222,522387560,1635152681474,1635153604262,IN_TRAM,2450
125,209954512,522386075,209768100,522732791,1635156046471,1635157276601,IN_TRAM,4283
126,209797291,522741635,209800034,522748956,1635169352777,1635169414000,WALKING,95
127,209807966,522747332,209851175,522683054,1635169828588,1635170685426,WALKING,2096
128,209850589,522687863,210066309,522215217,1635171536880,1635172860288,IN_SUBWAY,6541
129,210070137,522220330,209770584,522731599,1635184164568,1635186010829,IN_SUBWAY,8023
130,209784182,522735033,210157618,522178105,1635244409064,1635245870515,IN_SUBWAY,7314
131,210157618,522178105,210070027,522223037,1635245870515,1635246968439,WALKING,831
132,210109887,522205698,210075044,522289704,1635250523804,1635252401400,WALKING,2319
133,210072277,522286716,210076702,522218597,1635252843545,1635254589623,WALKING,1717
134,210068824,522220221,209746153,522719036,1635270857074,1635272551644,IN_SUBWAY,6597
135,209746153,522719036,209784794,522735355,1635272551644,1635272925477,WALKING,396
136,209770606,522734276,209775053,522398080,1635340411000,1635341388668,IN_TRAM,4018
137,209776089,522399397,210032947,522278798,1635342242000,1635343048579,IN_TRAM,2643
138,210032947,522278798,210071773,522228754,1635343048579,1635343699015,WALKING,891
139,210069325,522218999,210085961,522211669,1635354263003,1635354376623,WALKING,153
140,210108163,522209979,210049154,522124672,1635355133400,1635356833928,WALKING,1764
141,210021789,522118939,209798141,522112885,1635364184000,1635365526944,WALKING,1648
142,209792069,522104968,209796906,522741820,1635366486000,1635368997728,IN_TRAM,10553
143,209783668,522736153,210124318,522190336,1635434946817,1635436480365,IN_SUBWAY,7133
144,210122047,522195139,210019661,522443722,1635440053804,1635441455000,IN_SUBWAY,3358
145,210022412,522443955,210199579,523022640,1635441826948,1635443319190,IN_SUBWAY,6546
146,210203123,523013989,209795987,522745717,1635449321793,1635450443112,IN_BUS,4499
147,209803534,522747630,209783974,522736035,1635450776950,1635453436880,WALKING,185
148,209782927,522734737,210083148,522080397,1635487465403,1635488734561,IN_SUBWAY,7828
149,210083148,522080397,210029600,522042355,1635488734561,1635489339746,WALKING,671
150,210021196,522042341,210060482,522218610,1635493965952,1635494974348,IN_TRAM,2310
151,210083267,522213436,209863544,522574723,1635508110000,1635510147980,WALKING,4286
152,209860937,522575077,209773960,522734260,1635511363342,1635512573913,IN_SUBWAY,4296
153,209780529,522734333,210143009,522180175,1635522117435,1635523336433,IN_SUBWAY,7171
154,210143009,522180175,210082575,522215343,1635523336433,1635523821524,WALKING,605
155,210077136,522217902,210147591,522178482,1635530724108,1635531447556,WALKING,668
156,210147591,522178482,209767775,522732074,1635531447556,1635532475564,IN_SUBWAY,6977
157,209769181,522732771,209744430,522718945,1635584956253,1635585204087,WALKING,286
158,209744821,522718365,210408845,522500787,1635585632608,1635586972000,IN_TRAM,6007
159,210408845,522500787,210505893,522517030,1635586972000,1635587492663,WALKING,896
160,210550738,522528697,231349759,531333769,1635588481102,1635597158073,IN_TRAIN,171014
161,231340159,531336600,231979358,531549094,1635597295201,1635598762463,IN_PASSENGER_VEHICLE,7136
